Ime objekta,Podrijetlo imena
Špilja na Gradini,smišljeno prema toponimu
Ozbiljna jama 2,smišljeno novo
Jama kod planinarskog doma na Hahlićima,smišljeno novo
Pećina s mostom u šumi Aćimovac,smišljeno prema toponimu
Jama Bezdanka,preuzeto kao lokalni naziv
Ve-de četrdeset,smišljeno novo
Lovrićija 1,smišljeno novo
Jama pod mostom na Šverdi,smišljeno novo
Jama kraj Točka,smišljeno prema toponimu
Karlovačka špilja,preuzeto kao lokalni naziv
Vodovod i kanalizacija d.o.o.,smišljeno novo
Rupa,smišljeno novo
Jurišna jama,smišljeno novo
Dobrica,smišljeno prema toponimu
Puškarić 1,smišljeno prema toponimu
Jama na Vršiću pod Jelovim vrhom,smišljeno prema toponimu
Špilja pod Lisinama,smišljeno prema toponimu
Minjarola,smišljeno novo
Lindina jama,smišljeno novo
Pećina,smišljeno novo
Butori,preuzeto kao lokalni naziv
Elin pokušaj,smišljeno novo
Tri Mićana,smišljeno novo
Golubinka u Paratovom gaju,preuzeto kao lokalni naziv
Brkinova rupa,preuzeto kao lokalni naziv
Špilja pokraj Šuplje stine,smišljeno prema toponimu
Popovićeva pećina u siparu,smišljeno novo
Pčelina pećina,preuzeto kao lokalni naziv
Jama u Smojverskim dulibama,smišljeno prema toponimu
Spilja u Kotlu,smišljeno prema toponimu
Kajgana,smišljeno novo
LK 1,smišljeno novo
Golubnjača u Dubravi,preuzeto kao lokalni naziv
Bobinac- Kozerina špilja,preuzeto kao lokalni naziv
Tanasijina jama,preuzeto kao lokalni naziv
Mala jama,smišljeno novo
Debela griža II,smišljeno prema toponimu
Seka,smišljeno novo
Vranja jama,preuzeto kao lokalni naziv
Jama pod Medveđakom oštrim,smišljeno prema toponimu
Jama Bobovci (u Fabrisovoj kavi),smišljeno prema toponimu
Jama na Borovoj kosi,smišljeno prema toponimu
Jama iznad puta,smišljeno novo
Jama prolivenog laka,smišljeno novo
Kozjakuša,smišljeno novo
Špilja u Skradinskom buku,smišljeno prema toponimu
Golubova jama,preuzeto kao lokalni naziv
Amidžina pećina,preuzeto kao lokalni naziv
Jama u Divojskim vlakama,preuzeto iz literature
Bajićeva špilja 5,preuzeto kao lokalni naziv
Petrčeva jama,smišljeno prema toponimu
Poljanak jama,smišljeno prema toponimu
Jama Pucićevina,smišljeno prema toponimu
Jama na Kosici 1,smišljeno prema toponimu
Gornja jama na Grljaku,smišljeno prema toponimu
Jama 209,smišljeno novo
Šuplika,preuzeto kao lokalni naziv
Izborna jama,preuzeto iz literature
Depratova pećina,preuzeto kao lokalni naziv
Malička,smišljeno novo
Jama ispod slane glavice,smišljeno prema toponimu
Pan lager,smišljeno novo
Suha pećina,nepoznato podrijetlo
Jazbina,preuzeto kao lokalni naziv
Jamina,preuzeto kao lokalni naziv
Sv. Lucija 2,smišljeno prema toponimu
Wind,smišljeno novo
Jama u Zubu Buljme,smišljeno prema toponimu
Dvostruka - B,smišljeno novo
Jama u Gaju,preuzeto iz literature
Plantaža,nepoznato podrijetlo
Jama kod Jamina,preuzeto kao lokalni naziv
Zver,smišljeno novo
Ester,preuzeto iz literature
Špilja Sv. Romualda,preuzeto kao lokalni naziv
Pećina Plovanija,smišljeno prema toponimu
Zlatna jama,preuzeto kao lokalni naziv
Šurkov Bijelež,smišljeno prema toponimu
Jama kod lovočuvareve kuće,smišljeno novo
Zvijezda,smišljeno novo
Štokanka,preuzeto kao lokalni naziv
Vranjka,preuzeto kao lokalni naziv
Jama Mala Golubinka,preuzeto kao lokalni naziv
Izvor pećina kod Loskuna,smišljeno prema toponimu
Jama odokativna,smišljeno novo
Jama pod Gubačkim vrhom,smišljeno prema toponimu
Dvojama kod Kolarišta,smišljeno prema toponimu
testni objekt,nepoznato podrijetlo
Stradivari,smišljeno novo
Jožina cockir zamka,smišljeno novo
Jama iza tenkova,smišljeno novo
Crikvena 9,smišljeno prema toponimu
Prnčeva špilja,preuzeto kao lokalni naziv
Živac,smišljeno novo
Tektospara,smišljeno novo
Špekovina,smišljeno novo
Grančica 1,smišljeno novo
Kaverna ZTC 2,smišljeno prema toponimu
Stevina pećina,smišljeno novo
Špiljica nasuprot ulaza u Kitu,smišljeno prema toponimu
Špilja Milke Trnine,preuzeto kao lokalni naziv
Didovača,preuzeto sa karte
Periodična izvor špilja u kanjonu delničkog potoka,smišljeno prema toponimu
Žute Pole,preuzeto kao lokalni naziv
Dremaljka,smišljeno novo
464,smišljeno novo
Pećina s pijeskom srednja,smišljeno prema toponimu
Vodena peća,preuzeto kao lokalni naziv
Likića jama,preuzeto kao lokalni naziv
Špilja na Koženjaku,smišljeno prema toponimu
Kaverna u Blažićima,smišljeno prema toponimu
Mačja glava,smišljeno novo
Depadansa,smišljeno novo
Jama kod cera,smišljeno novo
Jama iznad uvale Vrbovica,smišljeno prema toponimu
Golubinka kod Viture,preuzeto kao lokalni naziv
Trangrla pećina,preuzeto sa karte
Špaher Agonija,smišljeno novo
Špilja papučkog pračovjeka,smišljeno novo
Samogorska špilja,preuzeto kao lokalni naziv
Jama ispod Donje Cerovačke,smišljeno prema toponimu
Snježni škaf,smišljeno novo
Jama u Crnim vrtačama,smišljeno novo
Idrenica,smišljeno prema toponimu
Špilja ispod kućice lijeva,smišljeno novo
Jama Io,smišljeno novo
Jama na Stanišća,preuzeto kao lokalni naziv
Pod korenovom krošnjom,smišljeno novo
Ponor na Budinjačkom polju,smišljeno prema toponimu
Gornja Barićeva špilja,preuzeto kao lokalni naziv
Gubovača,preuzeto sa karte
Spila 2,smišljeno prema toponimu
Tuš kabina,smišljeno novo
Smdljivog Martina jama,smišljeno novo
Petnje,preuzeto kao lokalni naziv
Nevakuša špilja,preuzeto iz literature
Golubnjača,preuzeto kao lokalni naziv
Paklenička luknja,smišljeno prema toponimu
Jama 13,smišljeno novo
Hrenov grič,preuzeto kao lokalni naziv
Poklon,smišljeno novo
Jama kod Prijeke ljuti,preuzeto kao lokalni naziv
Jama Ukr 2,smišljeno novo
Suha čizma,smišljeno novo
Jama na Orbazovcu,smišljeno prema toponimu
Zatrpana,smišljeno novo
Jama s velikom sigom,smišljeno novo
Surova spilja,smišljeno novo
Jama uz cestu kod Sertić Poljane,smišljeno prema toponimu
Špilja sa zidom na Liveru,smišljeno prema toponimu
Mala Debeljača,smišljeno prema toponimu
Smaugova,smišljeno novo
Mrča 2,smišljeno prema toponimu
Jama za početnike,smišljeno novo
Jama roka mandolina,smišljeno novo
Špilja kod Dobre vode,smišljeno prema toponimu
Jama na Javorniku,smišljeno prema toponimu
Putek,smišljeno novo
Fosilovana,smišljeno novo
Ponor u boku Krke,preuzeto iz literature
Druga Golubinka kod Kuluše,smišljeno prema toponimu
Marsovac,smišljeno novo
Bačvenik,preuzeto kao lokalni naziv
Špilja pri Taljonu,preuzeto kao lokalni naziv
jama na Zaglavu,preuzeto kao lokalni naziv
Ma špilja,smišljeno novo
Mama look a Boo-boo,smišljeno novo
Velimirova jama,preuzeto kao lokalni naziv
Benčinska jama,smišljeno prema toponimu
Medvjeđi brlog,smišljeno novo
Pećina pod mali Bačvenjak,smišljeno prema toponimu
Upad,preuzeto kao lokalni naziv
Jama u Janjilu,preuzeto kao lokalni naziv
Jama u Plehotima,smišljeno prema toponimu
Pećina u Rebre,smišljeno prema toponimu
Volarska pećina,preuzeto kao lokalni naziv
Bračne vode,smišljeno novo
Znetva Pištavac,preuzeto kao lokalni naziv
Bajina jama,smišljeno novo
Antulina jama,smišljeno novo
Jama na Zubkovu dočiću,smišljeno prema toponimu
Balvan Revolucija,smišljeno novo
Poskočica,smišljeno novo
Iskupljenje,smišljeno novo
Velika pećina kod Kuneli,smišljeno prema toponimu
Dadića pećina,smišljeno novo
Špilja Vrbas,preuzeto kao lokalni naziv
Titova špilja,preuzeto sa karte
Protupožarka,smišljeno novo
Patuljkova špilja,smišljeno novo
Jama kod Lokve,preuzeto kao lokalni naziv
Jama u Šipku,smišljeno prema toponimu
Jama na Komu,preuzeto kao lokalni naziv
Sedrena špilja s jamskim ulazom,smišljeno novo
Gvozdenka,preuzeto kao lokalni naziv
Veliki odmor,smišljeno novo
Pećina Odihnica,smišljeno novo
Bunaroid,smišljeno novo
Špilja ispod Hajdučke kuće,smišljeno novo
Improvizirana 1,smišljeno novo
Hebačke nameste,smišljeno novo
Podilljska jama,smišljeno novo
Gregor,smišljeno novo
Jama pod Kitinom okretaljkom,smišljeno novo
Jama pod pilanom,smišljeno novo
Jama Litiotes,smišljeno novo
Jama pod vrhom Kize,smišljeno prema toponimu
Bermuda,smišljeno novo
Katai Katai,smišljeno novo
Šarića jama,preuzeto kao lokalni naziv
Tonjina snježnica,smišljeno novo
Bukovac,preuzeto kao lokalni naziv
Mala štala na Pagu,smišljeno novo
Prosttata,smišljeno novo
Miijko,smišljeno novo
Ričard Gir,smišljeno novo
Lijepa izdaleka,smišljeno novo
Jama pod Golom,preuzeto kao lokalni naziv
FN 5,smišljeno novo
Dvojama,smišljeno novo
Drinovčuša,preuzeto kao lokalni naziv
Babina peć,preuzeto kao lokalni naziv
Let dvije sove,smišljeno novo
Gitulja,smišljeno novo
Ponor 2,smišljeno novo
Jama pod Buharišće,smišljeno prema toponimu
Čouljava pečina,smišljeno novo
Tihova jama,smišljeno novo
Ponor Ljeskova draga,preuzeto kao lokalni naziv
Fuj pauk,smišljeno novo
Jelina pećina,preuzeto kao lokalni naziv
Jama u Zapolju,smišljeno prema toponimu
Golubinka pod Grabovom grudom,smišljeno prema toponimu
Drinjina jama,preuzeto kao lokalni naziv
Jama na Vršičku,smišljeno prema toponimu
Kriminalna,smišljeno novo
Borušnjak 1,smišljeno prema toponimu
Hlačice u snijegu,smišljeno novo
"Jama """"kod same jame""""",smišljeno novo
Sestra od jame,smišljeno novo
Bajićeva špilja 6,preuzeto kao lokalni naziv
Jama na Donjoj Glavici,smišljeno prema toponimu
Dražica,preuzeto kao lokalni naziv
Đukina jama,preuzeto kao lokalni naziv
Murija,smišljeno novo
Dno dna,smišljeno novo
Sumporača velika,smišljeno novo
Jasenova špilja,preuzeto kao lokalni naziv
Njemica,smišljeno novo
Jama na Velikom Liscu,smišljeno prema toponimu
Pony kapitalac,smišljeno novo
Špilja u Razbojni,smišljeno prema toponimu
Brkačina jama,preuzeto kao lokalni naziv
Winnetou,smišljeno novo
Špilja kod Majkova u flišu,smišljeno novo
Alisa 2,smišljeno novo
Jama kod Letiši,smišljeno prema toponimu
Malinka,smišljeno novo
Toplička špilja,preuzeto kao lokalni naziv
Ivča jama,preuzeto kao lokalni naziv
Bijele stijene,smišljeno prema toponimu
Šimin Samograd,preuzeto kao lokalni naziv
Boschova jama,smišljeno novo
Vela špilja u zavoju,smišljeno novo
Špilja u kanjonu Jadove,smišljeno novo
Vladića bezdanica,preuzeto kao lokalni naziv
Izgubljena jama,smišljeno novo
Jama na Bukovači,smišljeno prema toponimu
Tiplica,smišljeno novo
Pelima jama,preuzeto sa karte
Jama s pločicom,smišljeno novo
Arupium,smišljeno novo
Kamenica 4,smišljeno prema toponimu
Pod Gredom,preuzeto kao lokalni naziv
Jama kod dvorane,smišljeno novo
Jama u Bratušu,smišljeno prema toponimu
DIZ 1,smišljeno novo
Jama Kopar,preuzeto kao lokalni naziv
Jama Barišinka,preuzeto kao lokalni naziv
Kraljuša,preuzeto sa karte
Špilja u Gradusi,preuzeto kao lokalni naziv
Široka jama kraj Velog Brguda,nepoznato podrijetlo
Brgudac IV,smišljeno prema toponimu
Jama ispod ceste 1,smišljeno novo
Tri dana,smišljeno novo
Saksofon,smišljeno novo
Golubijenka jama,preuzeto kao lokalni naziv
Jama Boršt,smišljeno prema toponimu
Ponor u Kalanjevoj ruji,smišljeno prema toponimu
Jamurina (Bile laze),preuzeto kao lokalni naziv
Borovik,smišljeno prema toponimu
Talajine tri banke,smišljeno novo
Črni Knež Uruk-Hai,smišljeno novo
Polupećina Debela sten 5,preuzeto kao lokalni naziv
Bila lipotica,preuzeto kao lokalni naziv
Plisuja II Ptičica,smišljeno novo
Meho,smišljeno novo
Jama pod Sinji kuk,smišljeno prema toponimu
Jama iznad stare cijevi tunela Učka,smišljeno novo
Jama u Bubnju,smišljeno prema toponimu
Jarčanj na uglu od Velikog Desajduba,smišljeno prema toponimu
Jama uz staru cestu,nepoznato podrijetlo
Brunovka,smišljeno novo
Jamorina,preuzeto kao lokalni naziv
Jama Kujsnica,smišljeno novo
Jama s podrškom,smišljeno novo
Rudelića špilja,preuzeto iz literature
Međeđa jama,smišljeno novo
Signalka,smišljeno novo
Jama na Prevojiću,smišljeno novo
Šušpilja,smišljeno novo
Bokšića golubinka,smišljeno prema toponimu
Brestovica,preuzeto kao lokalni naziv
Jadranova špilja,preuzeto kao lokalni naziv
Nevjestina špilja,preuzeto kao lokalni naziv
Klementina 6,smišljeno prema toponimu
Jama pod Sokolićem,smišljeno prema toponimu
Znetva na Velikom Lomniku,smišljeno prema toponimu
Jama na Viloviku,smišljeno prema toponimu
Špilja na Budimu,smišljeno prema toponimu
Kuštrovka,preuzeto sa karte
"Kaverna na gradilištu sportske dvorane, Zamet, Rijeka",smišljeno novo
Babačanka,preuzeto kao lokalni naziv
Prevara,smišljeno novo
Karlova jama,smišljeno novo
Dragina golubinka,preuzeto kao lokalni naziv
Jama u Županovom dolu,smišljeno prema toponimu
Gljivarka,smišljeno novo
Šumsko voće 2,smišljeno novo
Beli Medžed,smišljeno novo
S-4,preuzeto iz literature
Jaz u Jubošu,smišljeno novo
Prva jama,smišljeno novo
Crvuljak s podrškom,smišljeno novo
Vrtača pušak svijeta i jama Opušak,smišljeno novo
Jama Migrantica,smišljeno novo
Mornarička pećina,smišljeno novo
Rasodnik,preuzeto kao lokalni naziv
Špiljica pod skloništem Dušice,smišljeno prema toponimu
Crna pečurka,smišljeno novo
Odakova (Nano) jama,smišljeno novo
Podmarin,smišljeno prema toponimu
Mini golf - Strguljin grad 6,smišljeno prema toponimu
Golubnjača pod Trogrlom jamom,preuzeto kao lokalni naziv
Trogrlo špilja,preuzeto kao lokalni naziv
Špilja 1. na Brdskoj gori,smišljeno prema toponimu
Bella vista,smišljeno novo
Jama uz blatni put,smišljeno novo
Božina kuća,preuzeto kao lokalni naziv
Hajdučka pećina,preuzeto kao lokalni naziv
KV1,smišljeno prema toponimu
Jama za Gabrovicu,smišljeno prema toponimu
Jama za stijenama,smišljeno novo
Chrisov bezdan,smišljeno novo
Šiljata jama,smišljeno novo
Ledenica Jezero,preuzeto kao lokalni naziv
Vešanska peć,preuzeto kao lokalni naziv
Snježna jama,smišljeno novo
Jama Krokz,smišljeno novo
Združena braća,smišljeno novo
Jama pod Klimentom,smišljeno prema toponimu
Uska jama,smišljeno novo
Oko Sokolovo,smišljeno novo
Jama pod Borovcem,smišljeno prema toponimu
Špilja pod Ivana križom,smišljeno prema toponimu
Kondorova jama,smišljeno novo
Jazavčarka,smišljeno novo
Škorpion,smišljeno novo
Jama na Jelici,smišljeno prema toponimu
Jamurka u Jasenicama,preuzeto sa karte
Brdarica 2,smišljeno prema toponimu
Jarač na ponti od Graca,preuzeto kao lokalni naziv
Izvor Pećine,preuzeto kao lokalni naziv
Mar,smišljeno novo
Jama Baredine,preuzeto kao lokalni naziv
Mavita,smišljeno novo
Plješina jama-Kolumbo-U3,preuzeto kao lokalni naziv
Jama pod Velim vrhom,smišljeno prema toponimu
Špilja pod Matasovom kulom,smišljeno prema toponimu
Njivice špilja,preuzeto kao lokalni naziv
Dimbunkaš,preuzeto kao lokalni naziv
Jama na Siljevači,smišljeno prema toponimu
Špilja kod Marijanovića kuća,smišljeno prema toponimu
Škedenj,preuzeto kao lokalni naziv
Škrabuljica,preuzeto kao lokalni naziv
Jama na Vlačine,smišljeno prema toponimu
Plišani lynx,smišljeno novo
Jama 202,smišljeno novo
Mala Kusača,smišljeno prema toponimu
Mala jama na Popini,smišljeno prema toponimu
Sedruša,smišljeno novo
Špilja pod Bilim kukom,smišljeno prema toponimu
Stari ponor Matice lijevi,smišljeno prema toponimu
Jama Ašov,smišljeno novo
Dlakava nozdrva,smišljeno novo
Cener,smišljeno novo
Vodena jama na Srimi,smišljeno prema toponimu
2 Gufi,smišljeno novo
Rupe 1,smišljeno novo
Bunar jama ispod puta,smišljeno novo
Špilja kod Jurinog žljeba 2,smišljeno prema toponimu
Ščukina hiža,preuzeto kao lokalni naziv
Đokina jama 1,smišljeno prema toponimu
Špilja pod Čelinkom,smišljeno prema toponimu
Barišinska jama,smišljeno prema toponimu
Medena jama,smišljeno novo
Teslić,preuzeto kao lokalni naziv
Špilja u Škorićima,smišljeno prema toponimu
Jama u Lučici,nepoznato podrijetlo
Jama pod Debelim vrhom,smišljeno prema toponimu
Špilja na Maljević brijegu,smišljeno prema toponimu
Jama na otoku Zvirinovik,smišljeno prema toponimu
Šimanova jama 1,smišljeno prema toponimu
"Nima, nima vode",smišljeno novo
Jama u Vrtu,smišljeno prema toponimu
Zaboravi da postoji,smišljeno novo
Jama Ravni,smišljeno prema toponimu
Špilja u Gudući pod autoputom,smišljeno prema toponimu
Dvocjevka jama,smišljeno novo
Botušića čatrnja,preuzeto kao lokalni naziv
Velebita,smišljeno novo
Vučja jama,smišljeno novo
Zagorska peć,preuzeto kao lokalni naziv
Vudna jama,preuzeto kao lokalni naziv
Jama u Orljači,preuzeto kao lokalni naziv
Špilja Buhara,smišljeno novo
Jama Lijepih Uspomena,smišljeno novo
Jambrišakovo vrelo,preuzeto kao lokalni naziv
Jama ispod Zoljinog kuka,smišljeno prema toponimu
Supurina,preuzeto kao lokalni naziv
Golubinka,preuzeto kao lokalni naziv
Špilja ispod Krsta,smišljeno prema toponimu
Tiha misa,smišljeno novo
Aždajina pećina,preuzeto kao lokalni naziv
Miljacka IV,preuzeto iz literature
Jama sa smećem,smišljeno novo
Pišteljak 1,smišljeno prema toponimu
Kontakt sistem,smišljeno novo
Pećina pod Štikovicom,smišljeno prema toponimu
Bunar jama na Maglaju,smišljeno prema toponimu
Tisuću mušica,smišljeno novo
Zelena,smišljeno novo
Čikita dimnjak,smišljeno novo
Ciparića pećina,preuzeto kao lokalni naziv
Kukor,preuzeto kao lokalni naziv
Golubinka kod Pupavaca,preuzeto sa karte
Jama pukovnika Kostadinovića,smišljeno novo
Razbijene glondže,smišljeno novo
Gollum,smišljeno novo
I dalje MiG 03,smišljeno novo
Banditska jama,smišljeno novo
Gajde,smišljeno novo
Jama ispod ceste 2,smišljeno novo
Golubinka na Plitvinama 2,nepoznato podrijetlo
Jama iznad Saranača,smišljeno prema toponimu
Jama u Salići kosa,preuzeto kao lokalni naziv
Ponistra,smišljeno novo
Dekontaminacija,smišljeno novo
Tomasova spilja,preuzeto kao lokalni naziv
Vranje Garme,preuzeto kao lokalni naziv
Jamica u Rudinama 2,smišljeno prema toponimu
Reno 4,smišljeno novo
Srndać,smišljeno novo
Dančeva pećina,preuzeto kao lokalni naziv
Šifnerova jama,nepoznato podrijetlo
Jama na Straži,preuzeto kao lokalni naziv
Budina ledenica,preuzeto kao lokalni naziv
Jama Ledine,preuzeto kao lokalni naziv
Jama na Krasi,smišljeno prema toponimu
Jama pod Jarebinjakom,smišljeno prema toponimu
Mala špilja kod Jankovca,smišljeno prema toponimu
Golubera iznad Vlašića,preuzeto kao lokalni naziv
Jama kod križanja za Pokrovnik,smišljeno prema toponimu
Dvije bajunete,smišljeno novo
Špilja sa sovom,smišljeno novo
Jama na Čelišniku,smišljeno prema toponimu
Mala špilja kod rudnika zlata,smišljeno novo
Brkina jama,smišljeno novo
Crvuljak,smišljeno novo
Rojina jama,smišljeno novo
Možda jama,smišljeno novo
Ponor u Čerinama,preuzeto kao lokalni naziv
Advent 4,smišljeno novo
Ošlja jama,smišljeno prema toponimu
Jama na Puharici,smišljeno prema toponimu
Pećina na Mrežnici kraj mlina 2,smišljeno prema toponimu
Vranjača u Ostrogašici,smišljeno prema toponimu
Zdenac,preuzeto kao lokalni naziv
Jama kod Škopelićinog dolca,smišljeno prema toponimu
Bratska jama,preuzeto kao lokalni naziv
Slučajna špilja,smišljeno novo
Jamina Sredi,smišljeno prema toponimu
Jamica u Rudinama 1,smišljeno prema toponimu
Tihinja špilja,preuzeto kao lokalni naziv
Flekijeva jama,smišljeno novo
Pećina na Rucovici,smišljeno prema toponimu
Pećina u Brini istočna,preuzeto iz literature
Samograd,preuzeto kao lokalni naziv
Jama u Kućinama,smišljeno prema toponimu
Kostanjevka,smišljeno prema toponimu
Pavlova špilja,preuzeto kao lokalni naziv
Prva vilina,smišljeno novo
Pajića jama,smišljeno prema toponimu
Kožni remen,smišljeno novo
Sicilijanijeva trourka,smišljeno novo
Visoka špilja,smišljeno novo
Jama iznad ceste,preuzeto iz literature
Jama kod Grdića,smišljeno prema toponimu
Jama u Dolčiću,smišljeno prema toponimu
Igi i žohari,smišljeno novo
Štojsova jama 2,preuzeto kao lokalni naziv
Javorska 2,preuzeto kao lokalni naziv
Golubinka kod Šaini,smišljeno prema toponimu
Odlagalište drva,smišljeno novo
Jama na Sv. Iliji,smišljeno novo
Pogledalce,smišljeno prema toponimu
Jama na Jančariji 2,smišljeno prema toponimu
Ponor Škrljevo,preuzeto kao lokalni naziv
Ponor u raju,smišljeno novo
Sokina jama,smišljeno novo
Kijevljanka,smišljeno novo
Živkovača,preuzeto kao lokalni naziv
"Mala peć, Bijelnik",preuzeto sa karte
Tomarčeva peć,preuzeto kao lokalni naziv
Riobamba,smišljeno novo
Pakina špilja,smišljeno novo
Ostojića golubinka,smišljeno novo
Zrnići jama 1,smišljeno prema toponimu
Jama pod Kaličakom,smišljeno prema toponimu
Pećina kod Velog briga,smišljeno prema toponimu
Vicina pećina,preuzeto kao lokalni naziv
Avionski kotač,smišljeno novo
Izgrebana jama,smišljeno novo
DG4,smišljeno novo
Mikića jama,preuzeto kao lokalni naziv
Malo Razočaranje,smišljeno novo
Sklonište iznad Dumana,smišljeno prema toponimu
Radohina,preuzeto kao lokalni naziv
Jamica pod Stržen,smišljeno prema toponimu
Špilja Kula,preuzeto kao lokalni naziv
Villa Palma,smišljeno novo
Špilja na rtu Veliki Tradanj 2,smišljeno prema toponimu
Zdenčajka IV,preuzeto kao lokalni naziv
Avatar,smišljeno novo
Jama na Klančiću,preuzeto kao lokalni naziv
Jama kod crvenog gloga,smišljeno novo
Jagodnjak,preuzeto kao lokalni naziv
Mala pećina kod Kuneli,smišljeno prema toponimu
Pužolika jama,smišljeno novo
Ponor Bratstva i Jedinstva,smišljeno novo
Špilja iznad Kesića,smišljeno prema toponimu
Jama na Zaluki 2,smišljeno prema toponimu
Piškera,preuzeto kao lokalni naziv
Bonagracija 1,smišljeno novo
Jama na Balinovcu,preuzeto iz literature
G30,smišljeno novo
Ćorina jama,smišljeno novo
Mali raj,smišljeno novo
Konan,smišljeno novo
Špilja iznad velikog Bresta,smišljeno prema toponimu
Špilja u uvali za dvoje_srednja,preuzeto kao lokalni naziv
Vriština,smišljeno novo
Špilja na siparu za šetnicu,smišljeno novo
Jama kornjaša,smišljeno novo
Pećina u Kasunima,smišljeno prema toponimu
Jama pod Prčnom ogradom,smišljeno novo
Golubnica,preuzeto kao lokalni naziv
Gluva pećina,preuzeto kao lokalni naziv
Špilja Crkvenica,preuzeto kao lokalni naziv
Vrelce velika,preuzeto kao lokalni naziv
Profundača,smišljeno novo
Jama na Cerovom brdu,smišljeno prema toponimu
Hajdova hiža,preuzeto kao lokalni naziv
Jama u Steljnici 2,smišljeno prema toponimu
Jama 11,preuzeto iz literature
Jama 3 gume,smišljeno novo
Jama u Komarima,smišljeno prema toponimu
Velika pod vidikovcem,smišljeno novo
Kozlinova špilja,smišljeno novo
Jama pod Crvenom pećinom,smišljeno prema toponimu
Jama na Zovi do,preuzeto kao lokalni naziv
Kobiljak,preuzeto kao lokalni naziv
Mrtolačka peć,preuzeto kao lokalni naziv
Izvor Mala pećina,preuzeto kao lokalni naziv
Uska Rudnica,smišljeno prema toponimu
Makeljina jama,preuzeto kao lokalni naziv
Mačka mama,smišljeno novo
Kojići pećina 1,smišljeno prema toponimu
Jama kod Moljevih dvora,smišljeno prema toponimu
Jama treba pantin,smišljeno novo
Konzerva,smišljeno novo
Debelica,smišljeno novo
Guduća I,smišljeno prema toponimu
Druga vilina,smišljeno novo
Taman,smišljeno novo
Odjel 29,smišljeno novo
Jama na pukotini,smišljeno novo
Špilja kod Fratrovaca,smišljeno prema toponimu
Šumec,smišljeno novo
Filipova puhalica,smišljeno novo
Čorkica,smišljeno prema toponimu
Polušpilja pod Čikitom,smišljeno novo
Jamuša,smišljeno novo
Jama na gomilama,smišljeno novo
Rogozno,smišljeno prema toponimu
Modra Mrtvačeva jama,preuzeto iz literature
Divka jama,smišljeno novo
Stražari 2,smišljeno novo
Jama Krst,smišljeno novo
Špilja s križevima,smišljeno novo
Neviđena,smišljeno novo
Jama na njivi Valdelari,preuzeto kao lokalni naziv
Cener jama,smišljeno novo
Kaverna nad mostom na Čikoli,smišljeno prema toponimu
Studenac,smišljeno prema toponimu
Pećina kod Mučića,preuzeto iz literature
Jama u Glavi,smišljeno prema toponimu
Jama pod Pij,nepoznato podrijetlo
Bunarić,smišljeno novo
Markova lipotica,smišljeno novo
Jelenko,smišljeno novo
Idemo ća,smišljeno novo
Bušnja,smišljeno novo
Golubova špilja,preuzeto iz literature
Rudine,preuzeto sa karte
Smotana,smišljeno novo
Jama u Priroju,smišljeno prema toponimu
Rujna pukotina,smišljeno novo
Japlena – Vranići,preuzeto kao lokalni naziv
Jama čizma,smišljeno prema toponimu
Jama pod Grabovim ramenom,smišljeno prema toponimu
Jama Jarnovi kali,preuzeto kao lokalni naziv
Špilja kod Bašarinke,smišljeno prema toponimu
Adidas,smišljeno novo
Jama na Čiči,smišljeno prema toponimu
Zorkina jama,preuzeto iz literature
Jama na Viljenici,preuzeto iz literature
Strguljin grad 12,smišljeno prema toponimu
Ucviljena ljepotica,smišljeno novo
Izvor Kupice,preuzeto kao lokalni naziv
Brkate žene,smišljeno novo
Vranjasavica,smišljeno prema toponimu
Traverza kod Miljković staja,smišljeno prema toponimu
Špilja spomenik,smišljeno novo
Veliki Gubavci,smišljeno prema toponimu
Dvogrle,preuzeto kao lokalni naziv
Tomina jama,preuzeto kao lokalni naziv
Ledenac,preuzeto sa karte
Ledena palača,smišljeno novo
Pužjak,smišljeno novo
Pećina Zvonik 6,smišljeno prema toponimu
Međeđe,smišljeno novo
Plitvice 196,preuzeto sa karte
Kopila 1,smišljeno prema toponimu
Radina pećina,preuzeto kao lokalni naziv
Cesta,smišljeno novo
Belecgradska špilja,smišljeno prema toponimu
Jama na Palježu,smišljeno prema toponimu
Jama izgubljeni most,smišljeno novo
Polupećina iznad Vrela,smišljeno prema toponimu
Pećina na Čakovcu,smišljeno prema toponimu
Još puše,smišljeno novo
Žveket jama,smišljeno novo
Jama na Mrežarama,smišljeno prema toponimu
Turski pržun,smišljeno novo
Mala jama na Škenderovcu,smišljeno prema toponimu
Pajučina,smišljeno novo
Govničko na Gorničko,smišljeno novo
Jama na Kaline,smišljeno prema toponimu
Jelenko,smišljeno novo
Pećina Škrbina,preuzeto kao lokalni naziv
Brutal,smišljeno novo
Ženski grad 1,smišljeno novo
Kaverna Blažići 2,smišljeno prema toponimu
Pijana bušilica,smišljeno novo
Golubinka u Kljenku,preuzeto kao lokalni naziv
Špilja pod Tukom,smišljeno prema toponimu
Brižna salamandra,smišljeno novo
Kaverna Škurinje 3,smišljeno prema toponimu
Pećina Valerun,preuzeto kao lokalni naziv
Guzobris,smišljeno novo
Preko volje,smišljeno novo
Jabukova jama,preuzeto kao lokalni naziv
Perlinac,preuzeto kao lokalni naziv
Jama kod platoa 3,smišljeno novo
Macolina,smišljeno novo
Sindikalna jama,smišljeno novo
B 22,smišljeno novo
